response,context1,context2,context3,context4,context5,context6,context7
All right. Hermione?,All right? You?,"All right there, Ron?",Mm. Alas. Earwax.,But I think I could be safe with a nice toffee...,"I was most unfortunate in my youth to come across a vomit flavoured one, and since then I have lost my liking for them. ",Ah. Bertie Bott's Every Flavour Beans. ,"Love, Harry, love. "
Never better.,All right. Hermione?,All right? You?,"All right there, Ron?",Mm. Alas. Earwax.,But I think I could be safe with a nice toffee...,"I was most unfortunate in my youth to come across a vomit flavoured one, and since then I have lost my liking for them. ",Ah. Bertie Bott's Every Flavour Beans. 
Another year gone. ,Never better.,All right. Hermione?,All right? You?,"All right there, Ron?",Mm. Alas. Earwax.,But I think I could be safe with a nice toffee...,"I was most unfortunate in my youth to come across a vomit flavoured one, and since then I have lost my liking for them. "
"And now, as I understand it, the house cup needs awarding, and the points stand thus. ",Another year gone. ,Never better.,All right. Hermione?,All right? You?,"All right there, Ron?",Mm. Alas. Earwax.,But I think I could be safe with a nice toffee...
"In fourth place, Gryffindor with 312 points. ","And now, as I understand it, the house cup needs awarding, and the points stand thus. ",Another year gone. ,Never better.,All right. Hermione?,All right? You?,"All right there, Ron?",Mm. Alas. Earwax.
"Third place, Hufflepuff, with 352 points. ","In fourth place, Gryffindor with 312 points. ","And now, as I understand it, the house cup needs awarding, and the points stand thus. ",Another year gone. ,Never better.,All right. Hermione?,All right? You?,"All right there, Ron?"
"In second place, Ravenclaw, with 426 points","Third place, Hufflepuff, with 352 points. ","In fourth place, Gryffindor with 312 points. ","And now, as I understand it, the house cup needs awarding, and the points stand thus. ",Another year gone. ,Never better.,All right. Hermione?,All right? You?
"And in first place, with 472 points, Slytherin House.","In second place, Ravenclaw, with 426 points","Third place, Hufflepuff, with 352 points. ","In fourth place, Gryffindor with 312 points. ","And now, as I understand it, the house cup needs awarding, and the points stand thus. ",Another year gone. ,Never better.,All right. Hermione?
Whoo! Yeah!,"And in first place, with 472 points, Slytherin House.","In second place, Ravenclaw, with 426 points","Third place, Hufflepuff, with 352 points. ","In fourth place, Gryffindor with 312 points. ","And now, as I understand it, the house cup needs awarding, and the points stand thus. ",Another year gone. ,Never better.
"Nice one, Mate! ",Whoo! Yeah!,"And in first place, with 472 points, Slytherin House.","In second place, Ravenclaw, with 426 points","Third place, Hufflepuff, with 352 points. ","In fourth place, Gryffindor with 312 points. ","And now, as I understand it, the house cup needs awarding, and the points stand thus. ",Another year gone. 
"Yes, yes, well done Slytherin, well done Slytherin. ","Nice one, Mate! ",Whoo! Yeah!,"And in first place, with 472 points, Slytherin House.","In second place, Ravenclaw, with 426 points","Third place, Hufflepuff, with 352 points. ","In fourth place, Gryffindor with 312 points. ","And now, as I understand it, the house cup needs awarding, and the points stand thus. "
"However, recent events must be taken into account. ","Yes, yes, well done Slytherin, well done Slytherin. ","Nice one, Mate! ",Whoo! Yeah!,"And in first place, with 472 points, Slytherin House.","In second place, Ravenclaw, with 426 points","Third place, Hufflepuff, with 352 points. ","In fourth place, Gryffindor with 312 points. "
And I have a few last minute points to award. ,"However, recent events must be taken into account. ","Yes, yes, well done Slytherin, well done Slytherin. ","Nice one, Mate! ",Whoo! Yeah!,"And in first place, with 472 points, Slytherin House.","In second place, Ravenclaw, with 426 points","Third place, Hufflepuff, with 352 points. "
"To Miss Hermione Granger, for the use of cool intellect when others were in great peril, 50 points. ",And I have a few last minute points to award. ,"However, recent events must be taken into account. ","Yes, yes, well done Slytherin, well done Slytherin. ","Nice one, Mate! ",Whoo! Yeah!,"And in first place, with 472 points, Slytherin House.","In second place, Ravenclaw, with 426 points"
Good job.,"To Miss Hermione Granger, for the use of cool intellect when others were in great peril, 50 points. ",And I have a few last minute points to award. ,"However, recent events must be taken into account. ","Yes, yes, well done Slytherin, well done Slytherin. ","Nice one, Mate! ",Whoo! Yeah!,"And in first place, with 472 points, Slytherin House."
"Second, to Mr. Ronald Weasley, for the best played game of chess that Hogwarts has seen these many years...50 points. ",Good job.,"To Miss Hermione Granger, for the use of cool intellect when others were in great peril, 50 points. ",And I have a few last minute points to award. ,"However, recent events must be taken into account. ","Yes, yes, well done Slytherin, well done Slytherin. ","Nice one, Mate! ",Whoo! Yeah!
"And third, to Mr. Harry Potter, for pure nerve and outstanding courage, I award Gryffindor house 60 points. ","Second, to Mr. Ronald Weasley, for the best played game of chess that Hogwarts has seen these many years...50 points. ",Good job.,"To Miss Hermione Granger, for the use of cool intellect when others were in great peril, 50 points. ",And I have a few last minute points to award. ,"However, recent events must be taken into account. ","Yes, yes, well done Slytherin, well done Slytherin. ","Nice one, Mate! "
We're tied with Slytherin!,"And third, to Mr. Harry Potter, for pure nerve and outstanding courage, I award Gryffindor house 60 points. ","Second, to Mr. Ronald Weasley, for the best played game of chess that Hogwarts has seen these many years...50 points. ",Good job.,"To Miss Hermione Granger, for the use of cool intellect when others were in great peril, 50 points. ",And I have a few last minute points to award. ,"However, recent events must be taken into account. ","Yes, yes, well done Slytherin, well done Slytherin. "
"And finally, it takes a great deal of bravery to stand up to your enemies, but a great deal more to stand up to your friends. ",We're tied with Slytherin!,"And third, to Mr. Harry Potter, for pure nerve and outstanding courage, I award Gryffindor house 60 points. ","Second, to Mr. Ronald Weasley, for the best played game of chess that Hogwarts has seen these many years...50 points. ",Good job.,"To Miss Hermione Granger, for the use of cool intellect when others were in great peril, 50 points. ",And I have a few last minute points to award. ,"However, recent events must be taken into account. "
I award 10 points to Neville Longbottom.,"And finally, it takes a great deal of bravery to stand up to your enemies, but a great deal more to stand up to your friends. ",We're tied with Slytherin!,"And third, to Mr. Harry Potter, for pure nerve and outstanding courage, I award Gryffindor house 60 points. ","Second, to Mr. Ronald Weasley, for the best played game of chess that Hogwarts has seen these many years...50 points. ",Good job.,"To Miss Hermione Granger, for the use of cool intellect when others were in great peril, 50 points. ",And I have a few last minute points to award. 
"Assuming that my calculations are correct, I believe that a change of direction is in order. ",I award 10 points to Neville Longbottom.,"And finally, it takes a great deal of bravery to stand up to your enemies, but a great deal more to stand up to your friends. ",We're tied with Slytherin!,"And third, to Mr. Harry Potter, for pure nerve and outstanding courage, I award Gryffindor house 60 points. ","Second, to Mr. Ronald Weasley, for the best played game of chess that Hogwarts has seen these many years...50 points. ",Good job.,"To Miss Hermione Granger, for the use of cool intellect when others were in great peril, 50 points. "
Gryffindor wins the House Cup!,"Assuming that my calculations are correct, I believe that a change of direction is in order. ",I award 10 points to Neville Longbottom.,"And finally, it takes a great deal of bravery to stand up to your enemies, but a great deal more to stand up to your friends. ",We're tied with Slytherin!,"And third, to Mr. Harry Potter, for pure nerve and outstanding courage, I award Gryffindor house 60 points. ","Second, to Mr. Ronald Weasley, for the best played game of chess that Hogwarts has seen these many years...50 points. ",Good job.
Yes!,Gryffindor wins the House Cup!,"Assuming that my calculations are correct, I believe that a change of direction is in order. ",I award 10 points to Neville Longbottom.,"And finally, it takes a great deal of bravery to stand up to your enemies, but a great deal more to stand up to your friends. ",We're tied with Slytherin!,"And third, to Mr. Harry Potter, for pure nerve and outstanding courage, I award Gryffindor house 60 points. ","Second, to Mr. Ronald Weasley, for the best played game of chess that Hogwarts has seen these many years...50 points. "
Yeah! We won!!,Yes!,Gryffindor wins the House Cup!,"Assuming that my calculations are correct, I believe that a change of direction is in order. ",I award 10 points to Neville Longbottom.,"And finally, it takes a great deal of bravery to stand up to your enemies, but a great deal more to stand up to your friends. ",We're tied with Slytherin!,"And third, to Mr. Harry Potter, for pure nerve and outstanding courage, I award Gryffindor house 60 points. "
"Come on now, hurry up. You'll be late. ",Yeah! We won!!,Yes!,Gryffindor wins the House Cup!,"Assuming that my calculations are correct, I believe that a change of direction is in order. ",I award 10 points to Neville Longbottom.,"And finally, it takes a great deal of bravery to stand up to your enemies, but a great deal more to stand up to your friends. ",We're tied with Slytherin!
Train's leaving. ,"Come on now, hurry up. You'll be late. ",Yeah! We won!!,Yes!,Gryffindor wins the House Cup!,"Assuming that my calculations are correct, I believe that a change of direction is in order. ",I award 10 points to Neville Longbottom.,"And finally, it takes a great deal of bravery to stand up to your enemies, but a great deal more to stand up to your friends. "
